group,subgroup,excel_cost_total_year,db_cost_total_year,delta,delta_pct,top_example_transaction_ids
Custos,Custos com Mão de Obra,264679.75,0.0,264679.75,100.0,
Custos,Custos com Serviços Prestados,131549.92,0.0,131549.92,100.0,
